gene	conMean	treatMean	logFC	pValue	fdr
APOBEC3B	1.189568586	2.675075807	1.485507221	3.45E-68	1.54E-67
IGKV1D-39	5.924721485	8.374057215	2.44933573	2.53E-53	7.87E-53
SRPX	5.060991362	2.222655836	-2.838335526	1.63E-123	1.27E-121
MCC	2.28392136	1.259044717	-1.024876643	3.22E-92	3.03E-91
PRRG2	2.126704973	3.152640562	1.025935589	3.46E-77	2.01E-76
MCM4	2.626720646	4.557898148	1.931177502	7.21E-111	1.76E-109
PHACTR1	3.375751756	1.999203431	-1.376548326	9.06E-92	8.42E-91
PRIM2	1.841251859	2.960060925	1.118809065	2.07E-115	7.04E-114
HGH1	3.017765361	4.137253858	1.119488496	8.14E-82	5.42E-81
ITGA1	4.614022426	3.024757717	-1.589264709	4.23E-93	4.11E-92
POLR2D	2.872464621	4.01408923	1.141624609	5.50E-118	2.28E-116
KIF15	0.620356963	1.638359294	1.018002331	1.06E-83	7.43E-83
IGHV3-7	3.371101414	5.012181226	1.641079813	2.73E-28	5.18E-28
ZSWIM8-AS1	1.727114993	0.64887808	-1.078236913	3.35E-79	2.06E-78
TMEM92	1.72045783	3.798996452	2.078538622	1.43E-94	1.46E-93
TMEM105	0.513519421	1.548464601	1.03494518	6.91E-83	4.74E-82
VAMP1	3.176998199	2.06165629	-1.115341909	1.15E-69	5.36E-69
BMP6	2.730529954	1.646224347	-1.084305607	4.55E-52	1.38E-51
CDCP1	2.179031365	3.491594035	1.312562671	2.13E-74	1.13E-73
PTHLH	0.825590812	1.860062276	1.034471464	2.43E-37	5.45E-37
CST1	0.108124991	3.695338826	3.587213835	2.17E-124	1.97E-122
ARHGAP30	4.127830672	3.097415311	-1.030415362	2.04E-68	9.17E-68
TPGS1	3.027706899	2.018474624	-1.009232275	7.38E-72	3.63E-71
SCUBE1	2.490063342	0.490058086	-2.000005255	1.22E-125	1.45E-123
LINC00702	1.630224495	0.480069925	-1.15015457	9.85E-108	1.95E-106
SULT1C4	2.985093099	1.048292777	-1.936800322	2.70E-119	1.28E-117
FOXO3	4.388732555	3.28910969	-1.099622866	7.26E-95	7.48E-94
SLC7A5	2.860583927	4.449323636	1.588739709	8.79E-70	4.10E-69
CD2AP	3.218399664	4.464680472	1.246280808	2.24E-111	5.72E-110
TAGLN	9.435756609	7.614043232	-1.821713377	1.05E-87	8.41E-87
CTB-55O6.12	1.928424607	0.924640009	-1.003784599	6.67E-115	2.14E-113
TGM2	8.146318414	6.384453023	-1.761865391	2.28E-98	2.75E-97
DOCK11	4.055103981	2.755036153	-1.300067829	6.19E-110	1.43E-108
IGHV3-74	2.692363893	4.505124809	1.812760916	4.76E-43	1.19E-42
FTH1P20	2.764850372	4.068608132	1.30375776	5.64E-64	2.27E-63
CD37	5.902112224	4.784694747	-1.117417476	2.17E-59	7.79E-59
LCNL1	1.746507394	0.197025078	-1.549482316	3.44E-104	5.51E-103
RHNO1	2.865683149	4.475500127	1.609816978	8.45E-132	6.21E-129
PRC1	2.895633078	4.060082779	1.164449701	1.07E-52	3.28E-52
ANKRD44	3.406762261	2.367476477	-1.039285784	8.69E-74	4.53E-73
SLC6A4	4.413894868	0.419435067	-3.994459801	2.49E-125	2.77E-123
C1QTNF1	4.828780801	3.119744708	-1.709036093	5.16E-89	4.35E-88
GIMAP1	2.93401521	1.403901	-1.53011421	4.03E-119	1.86E-117
SUGP2	5.243473699	3.955135683	-1.288338016	7.36E-76	4.10E-75
APOL3	5.533606712	3.957337968	-1.576268745	8.13E-96	8.78E-95
PPP1R15A	6.933253649	4.992271648	-1.940982001	8.31E-111	2.03E-109
CMAHP	5.448804433	4.083291951	-1.365512482	2.23E-57	7.60E-57
GPC3	6.406909253	3.14628532	-3.260623933	2.14E-120	1.12E-118
EOGT	4.608032775	3.346125214	-1.261907561	1.67E-111	4.27E-110
VEGFC	3.384895899	2.107821695	-1.277074204	3.44E-74	1.81E-73
IGKV3D-11	0.820314858	2.560108285	1.739793427	1.74E-65	7.30E-65
PAN2	5.176158993	3.732706756	-1.443452237	1.42E-73	7.34E-73
NES	4.810932586	2.953371725	-1.857560862	1.45E-100	1.93E-99
CCL20	2.967789336	4.303615084	1.335825747	5.54E-23	9.46E-23
EML1	3.389441336	1.970264087	-1.419177249	1.57E-101	2.19E-100
RP11-186B7.4	2.717930541	1.272219262	-1.445711279	1.10E-88	9.16E-88
DSG2	2.287636119	4.763537231	2.475901112	4.31E-117	1.67E-115
SGK1	6.607716914	5.215410986	-1.392305928	3.33E-68	1.49E-67
RIN3	4.423167849	3.312593738	-1.110574111	4.27E-103	6.43E-102
CDHR3	2.963023027	1.698708097	-1.264314929	1.92E-34	4.08E-34
SIRPB2	2.916469754	1.611018952	-1.305450802	1.45E-77	8.48E-77
LINC00460	0.141683868	1.264902799	1.123218931	6.13E-70	2.88E-69
RPN2	6.653457094	7.70049047	1.047033376	6.10E-105	1.02E-103
SDHAF3	2.769022305	4.11995805	1.350935745	2.34E-111	5.97E-110
TSSC2	2.079608424	0.869642606	-1.209965817	5.64E-89	4.75E-88
F12	0.694607349	2.116267294	1.421659945	5.99E-94	5.97E-93
HMGA1	4.976244186	6.833979337	1.857735151	1.60E-103	2.47E-102
CDKN2A	1.484315748	3.505161559	2.020845811	9.78E-55	3.14E-54
RADIL	2.606463098	0.81599662	-1.790466478	3.16E-118	1.35E-116
DLG4	3.933214053	2.418550769	-1.514663284	3.09E-100	4.06E-99
IGHV1-58	0.708630965	2.060518343	1.351887378	9.70E-38	2.19E-37
MPDZ	3.575313072	2.269610744	-1.305702328	1.41E-106	2.57E-105
POLR3K	2.689870724	3.825380004	1.135509281	1.06E-108	2.24E-107
SEL1L3	4.614417175	5.854364622	1.239947447	2.52E-105	4.29E-104
CCDC85B	4.807521704	3.209159914	-1.59836179	4.06E-93	3.95E-92
PID1	4.019406497	2.471162021	-1.548244476	1.28E-86	9.85E-86
LILRA2	2.93103716	1.707709191	-1.223327968	9.91E-73	4.99E-72
WDR27	4.011902165	2.718908559	-1.292993607	4.90E-68	2.18E-67
SEMA5A	2.417807183	1.274319649	-1.143487533	2.90E-76	1.64E-75
SGOL1	0.352204133	1.516136004	1.16393187	7.61E-110	1.74E-108
HACD1	3.940692523	2.854288177	-1.086404346	6.27E-44	1.60E-43
SOX13	5.013954322	3.228434998	-1.785519324	8.30E-107	1.54E-105
HOXC10	0.113377413	1.352187349	1.238809935	4.37E-29	8.41E-29
SFTA1P	5.839196935	3.860983633	-1.978213302	3.22E-55	1.05E-54
TXLNGY	2.515378747	1.455470163	-1.059908584	1.99E-24	3.50E-24
KDM6B	4.272871881	3.200594244	-1.072277637	1.45E-64	5.92E-64
HIGD1B	4.930696424	2.350971868	-2.579724556	1.27E-109	2.87E-108
TUBB1	1.228038471	0.149179877	-1.078858594	1.03E-118	4.57E-117
C1orf210	2.827257128	3.930227014	1.102969887	2.40E-53	7.49E-53
RP5-1142A6.9	2.43375381	0.994366554	-1.439387256	8.31E-93	7.98E-92
KRT17	2.441566908	4.407619371	1.966052463	8.94E-38	2.02E-37
FCER1G	7.793955826	6.580617413	-1.213338413	3.54E-65	1.47E-64
TARID	2.171133654	0.397004053	-1.7741296	5.63E-114	1.67E-112
LINC01089	4.115038195	2.541108016	-1.573930179	1.51E-71	7.36E-71
MT1JP	2.039809998	0.237397371	-1.802412627	1.44E-97	1.67E-96
RP5-1056L3.3	2.096921181	1.014388979	-1.082532201	6.12E-42	1.50E-41
COX4I2	5.177970317	2.751451951	-2.426518366	2.26E-116	8.31E-115
NPIPB4	5.222010346	4.013720666	-1.208289679	4.63E-54	1.47E-53
SEMA6A-AS1	2.040323401	0.689446686	-1.350876715	1.10E-90	9.79E-90
ZDHHC14	2.994696149	1.918242395	-1.076453753	6.08E-95	6.30E-94
CXCL12	5.051677283	3.761796174	-1.289881109	1.56E-54	5.01E-54
ARAP3	4.38050939	2.290058452	-2.090450938	5.08E-124	4.36E-122
TNS1	6.606148664	4.484124795	-2.122023869	2.18E-123	1.66E-121
RBP2	2.052364001	0.534489793	-1.517874207	7.97E-77	4.58E-76
APOD	6.214294559	4.61157252	-1.602722039	6.67E-33	1.38E-32
HACD3	3.943044746	5.181349249	1.238304503	7.10E-104	1.12E-102
XKR9	0.42600439	1.536675712	1.110671323	1.76E-73	9.08E-73
RP11-672A2.4	1.377667403	0.331655317	-1.046012086	3.15E-116	1.14E-114
RP11-181G12.2	2.891088389	1.545793924	-1.345294465	7.01E-79	4.29E-78
SBSPON	1.965321215	0.73295796	-1.232363255	5.24E-104	8.30E-103
FLT1	3.993599011	2.991773452	-1.001825559	3.21E-57	1.09E-56
SYTL4	3.648527502	2.484928059	-1.163599442	2.26E-68	1.02E-67
C2orf40	3.914368009	1.45243105	-2.461936958	5.24E-92	4.91E-91
ACRBP	2.519629471	1.298607873	-1.221021598	1.33E-81	8.78E-81
PLCG1	5.905004274	4.681677719	-1.223326554	5.05E-69	2.31E-68
C3orf36	1.903667661	0.584973824	-1.318693837	1.07E-77	6.28E-77
GOLM1	3.403581576	6.385430491	2.981848915	3.93E-134	3.61E-130
NME1	4.707695873	6.731190548	2.023494675	1.47E-100	1.96E-99
C17orf58	2.0667464	3.290204979	1.22345858	9.29E-112	2.41E-110
WASH5P	4.882541797	3.702343994	-1.180197803	5.42E-61	2.03E-60
RNPC3	4.031876684	2.893070821	-1.138805863	8.57E-65	3.53E-64
DAB2IP	4.451070427	3.324014875	-1.127055553	1.77E-103	2.72E-102
PLN	3.185410193	1.924218041	-1.261192152	1.28E-55	4.20E-55
NKD1	2.588310667	0.839239828	-1.749070839	4.91E-104	7.80E-103
COL17A1	0.586088152	2.580336667	1.994248515	7.53E-63	2.94E-62
DMTF1	5.549413011	4.105866268	-1.443546743	8.10E-90	7.01E-89
WNT7B	1.401546376	2.988415243	1.586868866	1.34E-74	7.15E-74
ALOX5	6.736845152	4.260155618	-2.476689533	7.30E-119	3.29E-117
TRPM8	0.037648929	1.046605158	1.008956229	2.45E-107	4.68E-106
HEG1	4.813071328	3.212816848	-1.60025448	1.63E-103	2.52E-102
SPACA6P	3.582357143	1.91430495	-1.668052193	6.79E-94	6.74E-93
RP11-291I6.2	1.629766488	0.143738645	-1.486027843	2.25E-79	1.39E-78
RP11-66N24.3	2.871153615	1.499090403	-1.372063213	6.69E-74	3.49E-73
AC144831.1	1.551748801	0.535218032	-1.016530769	7.49E-113	2.07E-111
SH2D3C	5.194971522	2.645582308	-2.549389214	9.15E-130	2.95E-127
GRAP2	2.372575204	1.364620135	-1.007955069	2.53E-67	1.11E-66
IGLV1-47	4.298394004	6.386708331	2.088314326	1.93E-45	5.09E-45
INPP1	4.588299883	3.322936436	-1.265363447	5.83E-100	7.59E-99
CTD-2013N24.2	2.40519889	1.156702138	-1.248496752	5.43E-98	6.42E-97
SLC35F5	3.960315824	5.01147393	1.051158107	9.51E-105	1.57E-103
RMI1	1.378170503	2.431681412	1.053510909	4.44E-114	1.33E-112
GATA2	4.928996894	2.25459736	-2.674399534	3.42E-123	2.51E-121
ADGRD1	4.937899478	2.955000691	-1.982898786	7.87E-93	7.57E-92
RALGDS	5.652338179	4.641354064	-1.010984115	5.45E-78	3.24E-77
MAN2A2	5.450596942	3.896924115	-1.553672827	2.20E-99	2.80E-98
CTD-2562J17.6	4.372821667	3.019569127	-1.35325254	1.69E-67	7.43E-67
ANP32E	3.87136731	4.9882417	1.116874391	1.96E-77	1.14E-76
GHR	1.914496608	0.511482569	-1.403014039	3.24E-124	2.83E-122
EFNA4	2.207439156	4.093352187	1.88591303	5.76E-129	1.39E-126
PPAPDC1A	0.184080321	1.281953193	1.097872873	8.57E-76	4.76E-75
SEPHS2	4.165718493	5.297766132	1.132047639	6.49E-99	8.04E-98
LCN2	5.006355725	6.75094545	1.744589725	1.46E-34	3.10E-34
HHIPL2	0.27715647	1.375770548	1.098614078	2.86E-30	5.62E-30
ZNF83	5.010484858	3.609673089	-1.400811768	8.29E-78	4.89E-77
PTGIR	4.510279691	1.709011605	-2.801268086	1.54E-122	1.04E-120
VSIG2	4.684649147	3.290189477	-1.39445967	1.95E-31	3.92E-31
RP4-669L17.8	3.287285975	1.935658623	-1.351627351	1.88E-64	7.66E-64
AZU1	2.304878076	0.515816844	-1.789061231	1.17E-92	1.12E-91
CDK11A	5.577895173	4.042945664	-1.534949509	2.85E-69	1.31E-68
PITPNA-AS1	2.300774838	3.329277156	1.028502318	5.52E-66	2.34E-65
AC093110.3	3.304725023	0.805436223	-2.4992888	5.97E-131	2.81E-128
GNG11	4.783252086	3.21324192	-1.570010166	5.78E-83	3.98E-82
AP1M2	3.754256356	5.543539258	1.789282902	3.36E-116	1.21E-114
PDLIM7	6.314055127	5.166496472	-1.147558655	6.73E-56	2.22E-55
TNXB	6.206382751	2.663575401	-3.542807351	3.20E-127	5.33E-125
ARAP1-AS1	1.64001411	2.697113996	1.057099886	1.54E-16	2.35E-16
DENND4B	5.304574993	3.970698147	-1.333876846	2.16E-75	1.19E-74
CORO7	4.96794034	3.919035822	-1.048904518	3.35E-77	1.95E-76
USP53	4.587196032	3.108931401	-1.478264632	1.02E-89	8.83E-89
COL4A2	6.969406358	5.829199625	-1.140206733	5.32E-60	1.94E-59
SMTN	5.478605877	4.027981018	-1.450624859	2.48E-74	1.31E-73
AP003419.11	3.454240036	4.53513842	1.080898384	4.92E-37	1.10E-36
CASP6	3.052665523	4.291957818	1.239292295	2.83E-116	1.03E-114
TBX3	4.624028218	1.578301648	-3.04572657	7.59E-130	2.49E-127
C6orf25	1.669402444	0.215824606	-1.453577838	3.27E-126	4.35E-124
NXPH3	1.961886763	0.789016281	-1.172870482	1.03E-98	1.27E-97
SLC44A5	0.30818297	1.527319829	1.219136859	4.60E-55	1.49E-54
SAPCD2	0.474098802	2.335470443	1.861371641	1.12E-124	1.08E-122
PLAU	3.871629759	5.497825338	1.626195579	4.59E-60	1.68E-59
TMEM255B	4.17620606	2.160632532	-2.015573528	2.83E-115	9.44E-114
RP11-134L10.1	2.202048189	1.012804323	-1.189243866	2.93E-99	3.70E-98
PIGU	3.242436375	4.40508909	1.162652715	3.00E-117	1.17E-115
LSS	5.096351978	3.78726151	-1.309090468	3.88E-93	3.78E-92
LINC00893	3.556299525	1.814515042	-1.741784483	2.74E-73	1.40E-72
OGT	5.967627112	4.772199642	-1.19542747	1.10E-60	4.09E-60
RBBP4	5.203463881	6.277610786	1.074146906	1.12E-112	3.05E-111
DMPK	5.357300642	3.525385154	-1.831915487	1.79E-91	1.64E-90
FABP5P7	5.712402423	4.670249603	-1.04215282	4.16E-32	8.43E-32
PRSS16	2.477559952	3.894444384	1.416884432	2.12E-94	2.14E-93
TNFRSF21	3.695864894	5.548024477	1.852159583	3.23E-113	9.13E-112
C5AR1	5.042386594	3.157042444	-1.88534415	1.59E-111	4.09E-110
ARHGEF35	1.90237145	3.128642193	1.226270743	2.03E-72	1.01E-71
CREB3L4	2.971852341	4.131221269	1.159368927	1.03E-88	8.54E-88
TACSTD2	5.495422558	6.771448777	1.27602622	5.34E-59	1.89E-58
MCEMP1	4.962673683	2.101826961	-2.860846722	6.48E-99	8.04E-98
SMKR1	0.571246643	2.104146066	1.532899423	3.39E-83	2.35E-82
TIE1	5.103079646	2.865309914	-2.237769732	6.61E-126	8.20E-124
AGA	3.063244008	4.343585147	1.280341139	9.27E-99	1.14E-97
KAZN	3.60897161	1.702444816	-1.906526794	6.62E-119	2.99E-117
ABCA3	6.05946515	4.561579765	-1.497885385	3.03E-33	6.27E-33
IRAK3	3.620016239	1.887304453	-1.732711786	4.53E-97	5.15E-96
PSENEN	5.588822975	6.887317876	1.2984949	2.26E-100	2.99E-99
STARD10	5.91329265	7.409857102	1.496564452	2.20E-86	1.69E-85
SPAG9	5.444268083	4.38470784	-1.059560243	6.66E-73	3.37E-72
SYNE1	5.551332043	3.923271754	-1.628060289	2.40E-106	4.29E-105
RP11-750H9.5	2.683777577	1.404293915	-1.279483662	3.30E-89	2.80E-88
BIK	1.106586288	2.894753105	1.788166817	2.05E-105	3.52E-104
SLC35F2	1.803725215	3.654134188	1.850408973	9.87E-123	6.86E-121
GSR	3.898114923	4.940248946	1.042134024	4.65E-60	1.70E-59
KLF8	2.624525556	1.588763814	-1.035761742	1.18E-80	7.62E-80
AURKA	1.265010226	3.355793965	2.090783739	3.57E-118	1.52E-116
RP11-166B2.1	2.877516061	1.685929774	-1.191586287	6.43E-63	2.52E-62
DIO3	1.337799722	0.332723885	-1.005075838	2.85E-90	2.50E-89
MMP25-AS1	3.103111484	2.001385304	-1.10172618	4.08E-58	1.41E-57
AMY2B	4.392001049	2.465675424	-1.926325625	1.36E-79	8.51E-79
RERGL	1.70113413	0.681826398	-1.019307732	1.16E-62	4.53E-62
CDCA3	1.649594576	3.186657382	1.537062806	8.45E-74	4.40E-73
IGFBP6	5.540875889	3.777935556	-1.762940334	4.67E-60	1.71E-59
PON3	3.320318815	4.782062477	1.461743661	6.15E-49	1.75E-48
UBE2S	3.474280154	4.813870184	1.33959003	5.00E-78	2.97E-77
PVT1	3.089342448	4.26197373	1.172631282	7.33E-45	1.91E-44
PTMAP5	2.111438225	3.385663276	1.274225051	1.68E-64	6.83E-64
DNAH17	2.114535955	1.013223037	-1.101312918	6.38E-84	4.52E-83
ARHGEF10	4.571157859	2.805746645	-1.765411214	7.53E-118	3.08E-116
RP11-231C14.4	5.417638534	3.905610322	-1.512028212	1.26E-66	5.43E-66
BCAS1	0.96307204	2.23524461	1.27217257	2.81E-31	5.62E-31
STK26	2.187779466	3.223068618	1.035289152	1.97E-87	1.56E-86
E2F5	2.109437756	3.210149226	1.10071147	2.97E-93	2.90E-92
RASA3	3.663959298	2.431006405	-1.232952892	2.34E-88	1.92E-87
RP11-894P9.1	2.38210978	1.090699394	-1.291410386	2.34E-73	1.20E-72
GMFG	6.662483696	5.179500156	-1.48298354	3.18E-104	5.11E-103
SUMO1P3	1.127733515	2.187977373	1.060243857	6.02E-75	3.26E-74
TAOK2	5.09831026	4.027441958	-1.070868303	2.14E-99	2.73E-98
NMUR1	1.411392596	0.354885885	-1.056506711	3.40E-116	1.22E-114
PDZD11	4.190675539	5.444786109	1.25411057	2.08E-123	1.60E-121
IGHV3-72	1.812999502	2.966889798	1.153890296	7.41E-25	1.31E-24
CFLAR	6.868682644	5.644557044	-1.2241256	6.81E-82	4.54E-81
GALNT3	3.061387087	4.591010529	1.529623442	7.84E-73	3.96E-72
KCNMB2-AS1	0.08404376	1.296135341	1.212091581	1.43E-50	4.20E-50
DOK2	4.400985377	3.038562531	-1.362422845	3.76E-80	2.40E-79
LMO2	4.818711484	2.906955694	-1.91175579	1.37E-125	1.57E-123
TNNC1	5.637809668	2.947875745	-2.689933923	1.29E-102	1.90E-101
CCT3	5.869717199	7.340957242	1.471240043	2.13E-124	1.95E-122
RP11-1055B8.4	2.347916273	0.943075129	-1.404841144	8.53E-62	3.25E-61
CIT	2.72391135	3.902563075	1.178651725	5.18E-26	9.40E-26
SPAG8	2.341890495	1.040854152	-1.301036342	5.62E-68	2.50E-67
PRR36	0.849648649	2.359896246	1.510247597	1.01E-92	9.72E-92
TBXA2R	1.998841895	0.992360632	-1.006481263	8.09E-95	8.31E-94
RP5-966M1.6	2.02312646	0.592959763	-1.430166697	3.65E-89	3.09E-88
ALPP	2.056857533	0.645484632	-1.411372902	6.12E-78	3.63E-77
RP11-719K4.3	1.60593457	2.789122893	1.183188324	3.95E-18	6.17E-18
FAT4	2.148780964	0.905077304	-1.24370366	1.74E-106	3.14E-105
GPM6B	3.503473464	1.497978882	-2.005494582	1.42E-116	5.32E-115
ST6GALNAC3	2.286505623	0.79964089	-1.486864733	1.64E-110	3.93E-109
ABHD11	4.08359652	5.200999665	1.117403145	1.57E-72	7.84E-72
SUSD4	1.343571118	2.66697265	1.323401532	3.99E-50	1.16E-49
FSTL4	0.62317055	1.805612114	1.182441564	2.26E-37	5.07E-37
GMNN	2.985505474	4.026413421	1.040907947	6.77E-84	4.79E-83
E2F1	1.852313574	3.015302042	1.162988468	6.09E-66	2.58E-65
THSD4	3.032179562	1.837437766	-1.194741796	1.17E-91	1.08E-90
PEAK1	4.023526043	2.336058025	-1.687468019	4.55E-122	2.83E-120
HIST1H2BD	3.606263602	4.624731974	1.018468372	1.15E-24	2.04E-24
DNAJC22	0.249461985	1.512726053	1.263264068	1.78E-99	2.27E-98
RASAL1	0.48943751	2.14063671	1.651199201	5.07E-102	7.28E-101
LINC00694	1.767235223	0.423978947	-1.343256275	3.87E-108	7.87E-107
CLU	9.201037299	8.067147038	-1.133890261	9.39E-35	2.01E-34
TUBGCP6	4.652003057	3.398163782	-1.253839275	1.29E-75	7.15E-75
IGLV4-69	2.875064501	4.705177788	1.830113287	3.34E-36	7.33E-36
PFDN4	3.968250251	5.173424443	1.205174192	2.33E-105	4.00E-104
EFEMP2	5.91927381	4.657633393	-1.261640417	1.50E-87	1.20E-86
RP11-175B9.3	3.724806434	2.015667841	-1.709138592	6.62E-77	3.81E-76
TMED2	5.892449634	7.181874043	1.28942441	5.42E-118	2.25E-116
RMST	1.354187848	0.304656971	-1.049530877	3.62E-67	1.58E-66
RPS2P55	0.845124401	2.410790401	1.565666	5.06E-113	1.41E-111
MEGF6	4.533649439	3.081185604	-1.452463835	3.21E-74	1.69E-73
CTIF	3.897130121	2.62757673	-1.26955339	3.53E-114	1.06E-112
SYNGAP1	3.443571041	1.94541535	-1.498155691	1.29E-94	1.31E-93
SCOC	4.438057209	5.467079574	1.029022365	1.35E-91	1.24E-90
COL6A5	2.266154532	0.804050338	-1.462104194	1.43E-89	1.22E-88
CASZ1	3.629033305	2.40296689	-1.226066415	1.28E-97	1.49E-96
CTC-425F1.4	2.019528629	3.990804874	1.971276245	1.52E-49	4.36E-49
PVRL4	1.881464953	4.14616859	2.264703637	5.17E-112	1.36E-110
TBX2-AS1	3.776601558	1.13419003	-2.642411528	1.03E-127	1.99E-125
RUSC2	3.606951745	2.254735992	-1.352215753	3.23E-115	1.07E-113
DZIP1	2.761580962	1.686969292	-1.07461167	3.15E-83	2.19E-82
SLC44A4	3.566612171	5.260326493	1.693714322	8.29E-55	2.67E-54
AC005253.2	2.073764602	0.942353611	-1.131410991	3.28E-76	1.85E-75
LINC01125	3.17427041	1.926267985	-1.248002425	1.49E-69	6.89E-69
TTC9	1.794749397	2.829151231	1.034401834	9.46E-70	4.40E-69
PXDC1	5.526997614	4.307833238	-1.219164376	1.58E-92	1.50E-91
EFNA5	1.588042677	2.891651571	1.303608894	1.23E-82	8.43E-82
SLIT3	4.666975133	2.089896772	-2.577078361	3.02E-122	1.93E-120
RP11-345J4.5	3.343266296	4.62976407	1.286497774	7.25E-99	8.98E-98
C2CD4A	0.288661479	1.779876751	1.491215273	8.11E-97	9.10E-96
MAP7D2	0.302289586	1.572956675	1.270667089	1.69E-74	8.98E-74
PKDCC	5.9148213	3.16774572	-2.74707558	2.82E-114	8.57E-113
TNFAIP2	6.946743236	5.792652456	-1.154090781	2.33E-40	5.55E-40
LACTB2	3.281144861	4.776882865	1.495738003	1.01E-91	9.33E-91
PIEZO1	6.685181165	5.437711791	-1.247469375	4.51E-85	3.31E-84
RP11-154D6.1	1.334591835	0.226600971	-1.107990865	2.30E-110	5.48E-109
SLC11A1	7.529252401	3.50876329	-4.020489112	4.21E-128	8.68E-126
SLC38A2	6.504753305	5.235669377	-1.269083929	4.35E-79	2.68E-78
HNRNPCP2	1.516803017	3.705333732	2.188530715	2.79E-124	2.47E-122
IGHV3-30	4.864403207	7.086366874	2.221963667	2.95E-47	8.07E-47
G0S2	6.22054543	4.316276154	-1.904269276	9.56E-50	2.75E-49
LRCOL1	2.056056972	0.313143913	-1.742913059	2.77E-108	5.68E-107
bP-2189O9.2	1.484516093	0.292082174	-1.192433919	2.93E-103	4.47E-102
HEY1	3.757506197	2.628470319	-1.129035878	2.57E-61	9.65E-61
HERC2P9	4.349656344	2.735652834	-1.61400351	8.75E-87	6.78E-86
HBD	1.278767928	0.179612995	-1.099154933	1.85E-75	1.02E-74
PLAGL1	4.464960091	2.598471119	-1.866488972	1.04E-116	3.92E-115
NXF1	6.10039157	5.099781034	-1.000610535	6.76E-75	3.65E-74
SETBP1	2.364973157	1.169807084	-1.195166073	1.20E-94	1.22E-93
SIX1	0.759261096	2.949125053	2.189863957	1.85E-95	1.97E-94
RP11-66N24.4	2.305024996	1.24987036	-1.055154637	1.83E-71	8.90E-71
DMXL2	4.683962729	3.486133283	-1.197829446	1.36E-73	7.02E-73
SLC5A9	2.144502254	0.487365106	-1.657137147	4.64E-108	9.36E-107
IGHV1-18	3.484094958	5.997362531	2.513267573	7.60E-58	2.61E-57
MRPL12	4.739702149	5.970561884	1.230859735	2.02E-89	1.72E-88
TLE4	3.668930316	2.544431459	-1.124498857	2.94E-94	2.96E-93
ITM2A	4.846286299	3.420866603	-1.425419696	4.90E-80	3.11E-79
SNRPEP2	1.432710892	3.336509464	1.903798572	3.75E-117	1.45E-115
CYP4F29P	1.696194833	0.610223262	-1.085971572	1.85E-73	9.51E-73
TMEM62	3.54802802	4.561221905	1.013193885	7.27E-97	8.21E-96
TPD52	3.525640882	5.835536521	2.309895639	2.14E-122	1.42E-120
PFDN6	5.243891168	6.25800881	1.014117642	2.08E-97	2.39E-96
IGKV1-9	3.82337544	6.111083633	2.287708193	1.48E-50	4.34E-50
MUC4	2.322349643	3.856878971	1.534529328	7.58E-29	1.45E-28
LAGE3	3.625038665	5.209661207	1.584622542	4.51E-115	1.47E-113
APBB2	4.078747376	2.93718459	-1.141562786	7.00E-92	6.53E-91
JCHAIN	6.444605938	7.856624818	1.41201888	4.86E-27	9.00E-27
AURKB	1.545836145	3.421175875	1.87533973	3.62E-87	2.85E-86
CACNA1H	3.452003197	1.428744777	-2.02325842	1.22E-87	9.75E-87
UBA7	5.960914657	4.517325545	-1.443589112	6.36E-82	4.25E-81
MSRB3	4.424439298	2.434697011	-1.989742286	8.18E-124	6.76E-122
RS1	1.222062443	0.142748095	-1.079314348	1.58E-119	7.68E-118
GABARAPL1	6.612314154	5.06889227	-1.543421885	2.40E-105	4.10E-104
PDPN	4.529609254	3.428767167	-1.100842087	3.27E-48	9.13E-48
MMP9	3.232913093	4.604574536	1.371661444	3.38E-34	7.14E-34
MREG	2.214353597	3.393659279	1.179305682	2.66E-91	2.43E-90
GPRIN1	0.442902499	1.602652575	1.159750076	7.59E-114	2.23E-112
TMEM159	4.040140255	5.065647127	1.025506872	8.16E-66	3.44E-65
CSRP2	4.991038009	3.668834926	-1.322203083	3.18E-66	1.36E-65
UQCC3	2.361287088	3.47367054	1.112383452	9.24E-102	1.31E-100
SHCBP1	0.975123275	2.026065001	1.050941725	2.46E-77	1.43E-76
PARPBP	0.912458923	1.979434593	1.06697567	5.76E-89	4.84E-88
POSTN	4.583761749	5.908642122	1.324880373	3.37E-36	7.39E-36
NGEF	0.537186028	2.261674948	1.724488921	2.54E-87	2.01E-86
C16orf59	0.703841945	2.196552231	1.492710286	3.72E-107	7.02E-106
C1orf53	1.508323179	3.007084327	1.498761147	1.11E-97	1.29E-96
WDHD1	1.165478545	2.212448705	1.04697016	1.19E-88	9.85E-88
PPP1R1B	3.089835651	4.156011425	1.066175774	8.57E-14	1.23E-13
AC239868.3	2.943142395	4.541729942	1.598587547	6.43E-29	1.23E-28
MYO15B	6.68007364	4.017890176	-2.662183463	9.07E-91	8.10E-90
NTRK3	2.150504687	0.371456356	-1.779048331	1.04E-124	1.02E-122
RP11-848G14.5	2.455783724	0.849748228	-1.606035496	1.37E-76	7.79E-76
RP3-508I15.21	3.128942204	1.807235195	-1.321707008	1.95E-70	9.26E-70
